==519== NVPROF is profiling process 519, command: /apps/src/..//bin/10.1/release/nn-rodinia-2.0-ft ./data/filelist_4 3 30 90 ./data/filelist_4_3_30_90-result.txt
==519== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==519== Profiling application: /apps/src/..//bin/10.1/release/nn-rodinia-2.0-ft ./data/filelist_4 3 30 90 ./data/filelist_4_3_30_90-result.txt
==519== Profiling result:
"Device","Context","Stream","Kernel","Correlation_ID","inst_per_warp","branch_efficiency","warp_execution_efficiency","warp_nonpred_execution_efficiency","inst_replay_overhead","shared_load_transactions_per_request","shared_store_transactions_per_request","local_load_transactions_per_request","local_store_transactions_per_request","gld_transactions_per_request","gst_transactions_per_request","shared_store_transactions","shared_load_transactions","local_load_transactions","local_store_transactions","gld_transactions","gst_transactions","sysmem_read_transactions","sysmem_write_transactions","l2_read_transactions","l2_write_transactions","global_hit_rate","local_hit_rate","gld_requested_throughput","gst_requested_throughput","gld_throughput","gst_throughput","local_memory_overhead","tex_cache_hit_rate","l2_tex_read_hit_rate","l2_tex_write_hit_rate","tex_cache_throughput","l2_tex_read_throughput","l2_tex_write_throughput","l2_read_throughput","l2_write_throughput","sysmem_read_throughput","sysmem_write_throughput","local_load_throughput","local_store_throughput","shared_load_throughput","shared_store_throughput","gld_efficiency","gst_efficiency","tex_cache_transactions","flop_count_dp","flop_count_dp_add","flop_count_dp_fma","flop_count_dp_mul","flop_count_sp","flop_count_sp_add","flop_count_sp_fma","flop_count_sp_mul","flop_count_sp_special","inst_executed","inst_issued","sysmem_utilization","stall_inst_fetch","stall_exec_dependency","stall_memory_dependency","stall_texture","stall_sync","stall_other","stall_constant_memory_dependency","stall_pipe_busy","shared_efficiency","inst_fp_32","inst_fp_64","inst_integer","inst_bit_convert","inst_control","inst_compute_ld_st","inst_misc","inst_inter_thread_communication","issue_slots","cf_issued","cf_executed","ldst_issued","ldst_executed","atomic_transactions","atomic_transactions_per_request","l2_atomic_throughput","l2_atomic_transactions","l2_tex_read_transactions","stall_memory_throttle","stall_not_selected","l2_tex_write_transactions","flop_count_hp","flop_count_hp_add","flop_count_hp_mul","flop_count_hp_fma","inst_fp_16","sysmem_read_utilization","sysmem_write_utilization","pcie_total_data_transmitted","pcie_total_data_received","inst_executed_global_loads","inst_executed_local_loads","inst_executed_shared_loads","inst_executed_surface_loads","inst_executed_global_stores","inst_executed_local_stores","inst_executed_shared_stores","inst_executed_surface_stores","inst_executed_global_atomics","inst_executed_global_reductions","inst_executed_surface_atomics","inst_executed_surface_reductions","inst_executed_shared_atomics","inst_executed_tex_ops","l2_global_load_bytes","l2_local_load_bytes","l2_surface_load_bytes","l2_local_global_store_bytes","l2_global_reduction_bytes","l2_global_atomic_store_bytes","l2_surface_store_bytes","l2_surface_reduction_bytes","l2_surface_atomic_store_bytes","global_load_requests","local_load_requests","surface_load_requests","global_store_requests","local_store_requests","surface_store_requests","global_atomic_requests","global_reduction_requests","surface_atomic_requests","surface_reduction_requests","sysmem_read_bytes","sysmem_write_bytes","l2_tex_hit_rate","texture_load_requests","unique_warps_launched","sm_efficiency","achieved_occupancy","ipc","issued_ipc","issue_slot_utilization","eligible_warps_per_cycle","tex_utilization","l2_utilization","shared_utilization","ldst_fu_utilization","cf_fu_utilization","special_fu_utilization","tex_fu_utilization","single_precision_fu_utilization","double_precision_fu_utilization","flop_hp_efficiency","flop_sp_efficiency","flop_dp_efficiency","dram_read_transactions","dram_write_transactions","dram_read_throughput","dram_write_throughput","dram_utilization","half_precision_fu_utilization","ecc_transactions","ecc_throughput","dram_read_bytes","dram_write_bytes"
,,,,,,%,%,%,,,,,,,,,,,,,,,,,,%,%,GB/s,GB/s,GB/s,GB/s,%,%,%,%,GB/s,GB/s,GB/s,GB/s,GB/s,B/s,MB/s,B/s,B/s,B/s,B/s,%,%,,,,,,,,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,B/s,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,%,,,,%,,,,,,,,,,,%,%,%,,,GB/s,GB/s,,,,B/s,,
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z6euclidPcffPfiii",109,160.386994,93.946558,39.552605,34.893490,0.005165,0.000000,0.000000,0.000000,0.000000,2.000267,1.998934,0,0,0,0,15010,1875,0,5,120772,1888,0.000000,0.000000,21.007276,10.503638,672.232836,10.503638,0.000000,1.515152,83.593333,100.000000,84.073920,672.232836,10.503638,676.557534,10.576463,0.000000,28.681933,0.000000,0.000000,0.000000,0.000000,3.125000,100.000000,15008,0,0,0,0,668951,144793,239579,45000,42797,150443,151286,"Low (1)",14.295701,14.601152,54.315064,6.010262,0.000000,3.692256,3.987139,0.563658,0.000000,513184,0,586534,79736,131023,135000,234401,0,138440,20227,20227,18760,10318,0,0.000000,0.000000,0,120000,1.054022,1.480746,1875,0,0,0,0,0,"Idle (0)","Low (1)",0,0,7504,0,0,0,938,0,0,0,0,0,0,0,0,0,3840000,0,0,60000,0,0,0,0,0,15008,0,0,1876,0,0,0,0,0,0,0,160,83.845744,0,938,66.249573,0.375228,0.755460,1.112178,25.442091,1.387723,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Low (1)","Low (1)","Low (3)","Idle (0)",0.000000,0.944342,0.000000,19917,8155,111.573845,45.683823,"Mid (6)","Idle (0)",0,0.000000,637344,260960
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z6euclidPcffPfiii",113,159.891258,93.989373,39.633563,34.960378,0.005241,0.000000,0.000000,0.000000,0.000000,2.000267,1.998934,0,0,0,0,15010,1875,0,5,120512,1904,0.000000,0.000000,20.873872,10.436936,667.963894,10.436936,0.000000,1.515152,83.593333,68.266667,83.540018,667.963894,10.436936,670.813873,10.598360,0.000000,28.499792,0.000000,0.000000,0.000000,0.000000,3.125000,100.000000,15008,0,0,0,0,670392,144834,240279,45000,42897,149978,150858,"Low (1)",10.381474,11.902535,60.321513,2.469419,0.000000,7.148058,4.309870,0.441751,0.000000,513525,0,585374,79656,130523,135000,233821,0,138072,20092,20092,18760,10318,0,0.000000,0.000000,0,120000,1.857367,1.168012,1875,0,0,0,0,0,"Idle (0)","Low (1)",512,0,7504,0,0,0,938,0,0,0,0,0,0,0,0,0,3840000,0,0,60000,0,0,0,0,0,15008,0,0,1876,0,0,0,0,0,0,0,160,83.357538,0,938,61.536725,0.363997,0.791023,0.745740,17.062379,0.898942,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Low (1)","Low (1)","Low (2)","Idle (0)",0.000000,1.270945,0.000000,19809,6867,110.264140,38.224234,"Mid (5)","Idle (0)",0,0.000000,633888,219744
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z6euclidPcffPfiii",117,159.726013,94.003772,39.682075,35.001343,0.005053,0.000000,0.000000,0.000000,0.000000,2.000267,1.998934,0,0,0,0,15010,1875,0,5,121518,1904,0.000000,0.000000,21.226725,10.613363,679.255211,10.613363,0.000000,1.515152,83.593333,100.000000,84.952185,679.255211,10.613363,687.847790,10.777516,0.000000,28.981555,0.000000,0.000000,0.000000,0.000000,3.125000,100.000000,15008,0,0,0,0,670096,144790,240153,45000,42879,149823,150599,"Low (1)",10.610355,15.481145,58.294955,3.266770,0.000000,5.533708,2.417122,0.592547,0.000000,513427,0,585532,79645,130613,135000,233900,0,137833,20047,20047,18760,10318,0,0.000000,0.000000,0,120000,2.431606,1.371793,1875,0,0,0,0,0,"Idle (0)","Low (1)",512,0,7504,0,0,0,938,0,0,0,0,0,0,0,0,0,3840000,0,0,60000,0,0,0,0,0,15008,0,0,1876,0,0,0,0,0,0,0,160,83.845744,0,938,62.155695,0.379508,0.903539,0.820341,18.770052,0.995348,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Low (1)","Low (1)","Low (3)","Idle (0)",0.000000,1.264370,0.000000,21137,6692,119.645145,37.879799,"Mid (6)","Idle (0)",0,0.000000,676384,214144
"NVIDIA GeForce GTX 1080 (0)","1","7","_Z6euclidPcffPfiii",121,159.626866,94.012442,39.719245,35.035898,0.002378,0.000000,0.000000,0.000000,0.000000,2.000267,1.998934,0,0,0,0,15010,1875,0,5,120588,1888,0.000000,0.000000,21.340216,10.670108,682.886898,10.670108,0.000000,1.515152,83.593333,100.000000,85.406388,682.886898,10.670108,686.233044,10.744087,0.000000,29.136507,0.000000,0.000000,0.000000,0.000000,3.125000,100.000000,15008,0,0,0,0,669687,144801,239943,45000,42849,149730,150502,"Low (1)",13.074613,16.433150,47.065174,3.685341,0.000000,9.071708,6.126869,0.515543,0.000000,513348,0,585860,79659,130763,135000,234064,0,137748,20020,20020,18760,10318,0,0.000000,0.000000,0,120000,2.364513,1.663089,1875,0,0,0,0,0,"Idle (0)","Low (1)",512,0,7504,0,0,0,938,0,0,0,0,0,0,0,0,0,3840000,0,0,60000,0,0,0,0,0,15008,0,0,1876,0,0,0,0,0,0,0,160,83.845744,0,938,67.055745,0.383059,0.811439,1.265513,28.949299,1.388137,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Low (1)","Low (1)","Low (2)","Idle (0)",0.000000,1.233102,0.000000,19915,5558,113.330772,31.629045,"Mid (5)","Idle (0)",0,0.000000,637280,177856
