QV100-PTX (10 apps, 16 kernels (2 < 1% Err, 14 under, 0 over)) [Correl=nan Err=87.50%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,8855.00,0.00,0.00
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,8.00,0.00,0.00
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,8.00,0.00,0.00
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,17152.00,0.00,0.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,100.00,0.00,0.00
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,24.00,0.00,0.00
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,8155.00,0.00,0.00
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,161.00,0.00,0.00
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,11228.00,0.00,0.00
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,154.00,0.00,0.00


