QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 14 under, 2 over)) [Correl=-0.09126 Err=209.85%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,51.18,16.89,0.33
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,67.60,32.16,0.48
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,37.86,0.00,0.00
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,54.61,17.39,0.32
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,50.00,0.00,0.00
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,35.63,0.89,0.03
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,1.52,33.88,22.36
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,50.42,0.00,0.00
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,54.62,1.28,0.02
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,27.85,33.93,1.22


