QV100-PTX (10 apps, 16 kernels (16 < 1% Err, 0 under, 0 over)) [Correl=nan Err=0.00%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,0.00,55.28,55281070.70
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,0.00,53.21,53210394.50
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,0.00,6.88,6882520.08
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,0.00,24.76,24756357.99
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,0.00,37.46,37459328.33
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,0.00,13.39,13389062.07
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,0.00,33.88,33879109.99
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,0.00,2.61,2613768.96
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,0.00,7.44,7438588.06
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,0.00,39.74,39735686.24


