QV100-PTX (10 apps, 16 kernels (8 < 1% Err, 0 under, 8 over)) [Correl=0.05598 Err=330.89%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z22bpnn_layerforward_CUDAPfS_S_S_ii (Err=0.00%,HW-Range=+0.00%/-0.00%),100.00,100.00,1.00
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z24bpnn_adjust_weights_cudaPfiS_iS_S_ (Err=59.35%,HW-Range=+0.00%/-0.00%),62.76,100.00,1.59
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z6KernelP4NodePiPbS2_S2_S1_i (Err=0.00%,HW-Range=+0.00%/-0.00%),100.00,100.00,1.00
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z7Kernel2PbS_S_S_i (Err=0.00%,HW-Range=+0.00%/-0.00%),0.00,100.00,100000000.00
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--_Z14calculate_tempiPfS_iiiiffffff (Err=0.00%,HW-Range=+0.00%/-0.00%),100.00,100.00,1.00
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--_Z6kernelv (Err=27.40%,HW-Range=+0.00%/-0.00%),78.49,100.00,1.27
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_diagonalPfii (Err=0.00%,HW-Range=+0.00%/-0.00%),100.00,100.00,1.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z13lud_perimeterPfii (Err=0.00%,HW-Range=+0.00%/-0.00%),100.00,100.00,1.00
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_internalPfii (Err=125.00%,HW-Range=+0.00%/-0.00%),44.44,100.00,2.25
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_1PiS_S_iiii (Err=0.00%,HW-Range=+0.00%/-0.00%),100.00,100.00,1.00
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_2PiS_S_iiii (Err=4300.00%,HW-Range=+0.00%/-0.00%),2.27,100.00,44.00
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--_Z6euclidPcffPfiii (Err=19.63%,HW-Range=+0.00%/-0.00%),83.59,100.00,1.20
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--_Z14dynproc_kerneliPiS_S_iiii (Err=0.00%,HW-Range=+0.00%/-0.00%),100.00,100.00,1.00
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_1PfS_S_S_S_S_iif (Err=44.65%,HW-Range=+0.00%/-0.00%),68.75,99.45,1.45
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_2PfS_S_S_S_S_iiff (Err=533.33%,HW-Range=+0.00%/-0.00%),15.79,100.00,6.33
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--_Z12pgain_kerneliilP5PointiPfS1_PiPb (Err=184.90%,HW-Range=+0.00%/-0.00%),35.05,99.86,2.85


