QV100-PTX (10 apps, 16 kernels (1 < 1% Err, 4 under, 11 over)) [Correl=0.06387 Err=6020.67%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,43013.00,28660.00,0.67
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,180.00,14759.00,81.99
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,4212.00,26544.00,6.30
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,24323.00,18819.00,0.77
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,704.00,2048.00,2.91
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,69.00,4160.00,60.29
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,100312.00,78752.00,0.79
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,954.00,3015.00,3.16
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,6880.00,35536.00,5.17
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,2000.00,444610.00,222.30


