QV100-PTX (10 apps, 16 kernels (1 < 1% Err, 3 under, 12 over)) [Correl=0.25 Err=6309.85%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt,32772.00,32262.00,0.98
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt,40.00,18014.00,450.35
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt,293.00,1962.00,6.70
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt,10846.00,3838.00,0.35
lud-rodinia-2.0-ft/_v__b__i___data_64_dat,504.00,940.00,1.87
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt,92.00,2944.00,32.00
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,1875.00,5625.00,3.00
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt,79.00,500.00,6.33
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,7226.00,4128.00,0.57
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,738.00,45384.00,61.50


