QV100-PTX (10 apps, 16 kernels (0 < 1% Err, 3 under, 13 over)) [Correl=0.3062 Err=1313.49%]
Name,Hardware,Simulator,Sim/HW
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z22bpnn_layerforward_CUDAPfS_S_S_ii (Err=-34.10%,HW-Range=+0.00%/-0.00%),390397.00,257280.00,0.66
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--_Z24bpnn_adjust_weights_cudaPfiS_iS_S_ (Err=-7.96%,HW-Range=+0.00%/-0.00%),120185.00,110615.00,0.92
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z6KernelP4NodePiPbS2_S2_S1_i (Err=4062.88%,HW-Range=+0.00%/-0.00%),2732.00,113730.00,41.63
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--_Z7Kernel2PbS_S_S_i (Err=840.47%,HW-Range=+0.00%/-0.00%),2602.00,24471.00,9.40
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--_Z14calculate_tempiPfS_iiiiffffff (Err=498.42%,HW-Range=+0.00%/-0.00%),194776.00,1165587.00,5.98
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--_Z6kernelv (Err=-52.52%,HW-Range=+0.00%/-0.00%),324800.00,154224.00,0.47
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_diagonalPfii (Err=295.90%,HW-Range=+0.00%/-0.00%),2928.00,11592.00,3.96
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z13lud_perimeterPfii (Err=123.21%,HW-Range=+0.00%/-0.00%),3180.00,7098.00,2.23
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--_Z12lud_internalPfii (Err=83.12%,HW-Range=+0.00%/-0.00%),5688.00,10416.00,1.83
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_1PiS_S_iiii (Err=2545.78%,HW-Range=+0.00%/-0.00%),747.00,19764.00,26.46
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--_Z20needle_cuda_shared_2PiS_S_iiii (Err=934.54%,HW-Range=+0.00%/-0.00%),1494.00,15456.00,10.35
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--_Z6euclidPcffPfiii (Err=93.74%,HW-Range=+0.00%/-0.00%),151286.00,293096.00,1.94
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--_Z14dynproc_kerneliPiS_S_iiii (Err=373.20%,HW-Range=+0.00%/-0.00%),9537.00,45129.00,4.73
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_1PfS_S_S_S_S_iif (Err=58.07%,HW-Range=+0.00%/-0.00%),126840.00,200501.00,1.58
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--_Z11srad_cuda_2PfS_S_S_S_S_iiff (Err=92.14%,HW-Range=+0.00%/-0.00%),63488.00,121984.00,1.92
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--_Z12pgain_kerneliilP5PointiPfS1_PiPb (Err=10919.71%,HW-Range=+0.00%/-0.00%),7082.00,780416.00,110.20


